datetime,time (s),sigma_w (S/m)
2024-10-10 18:49:00,-596460.0,
2024-10-10 18:50:00,-596400.0,
2024-10-10 18:51:00,-596340.0,
2024-10-10 18:52:00,-596280.0,
2024-10-10 18:53:00,-596220.0,
2024-10-10 18:54:00,-596160.0,
2024-10-10 18:55:00,-596100.0,
2024-10-10 18:56:00,-596040.0,
2024-10-10 18:57:00,-595980.0,
2024-10-10 18:58:00,-595920.0,
2024-10-10 18:59:00,-595860.0,
2024-10-10 19:00:00,-595800.0,
2024-10-10 19:01:00,-595740.0,
2024-10-10 19:02:00,-595680.0,
2024-10-10 19:03:00,-595620.0,
2024-10-10 19:04:00,-595560.0,
2024-10-10 19:05:00,-595500.0,
2024-10-10 19:06:00,-595440.0,
2024-10-10 19:07:00,-595380.0,
2024-10-10 19:08:00,-595320.0,
2024-10-10 19:09:00,-595260.0,
2024-10-10 19:10:00,-595200.0,
2024-10-10 19:11:00,-595140.0,
2024-10-10 19:12:00,-595080.0,
2024-10-10 19:13:00,-595020.0,
2024-10-10 19:14:00,-594960.0,
2024-10-10 19:15:00,-594900.0,
2024-10-10 19:16:00,-594840.0,
2024-10-10 19:17:00,-594780.0,
2024-10-10 19:18:00,-594720.0,
2024-10-10 19:19:00,-594660.0,
2024-10-10 19:20:00,-594600.0,
2024-10-10 19:21:00,-594540.0,
2024-10-10 19:22:00,-594480.0,
2024-10-10 19:23:00,-594420.0,
2024-10-10 19:24:00,-594360.0,
2024-10-10 19:25:00,-594300.0,
2024-10-10 19:26:00,-594240.0,
2024-10-10 19:27:00,-594180.0,
2024-10-10 19:28:00,-594120.0,
2024-10-10 19:29:00,-594060.0,
2024-10-10 19:30:00,-594000.0,
2024-10-10 19:31:00,-593940.0,
2024-10-10 19:32:00,-593880.0,
2024-10-10 19:33:00,-593820.0,
2024-10-10 19:34:00,-593760.0,
2024-10-10 19:35:00,-593700.0,
2024-10-10 19:36:00,-593640.0,
2024-10-10 19:37:00,-593580.0,
2024-10-10 19:38:00,-593520.0,
2024-10-10 19:39:00,-593460.0,
2024-10-10 19:40:00,-593400.0,
2024-10-10 19:41:00,-593340.0,
2024-10-10 19:42:00,-593280.0,
2024-10-10 19:43:00,-593220.0,
2024-10-10 19:44:00,-593160.0,
2024-10-10 19:45:00,-593100.0,
2024-10-10 19:46:00,-593040.0,
2024-10-10 19:47:00,-592980.0,
2024-10-10 19:48:00,-592920.0,
2024-10-10 19:49:00,-592860.0,
2024-10-10 19:50:00,-592800.0,
2024-10-10 19:51:00,-592740.0,
2024-10-10 19:52:00,-592680.0,
2024-10-10 19:53:00,-592620.0,
2024-10-10 19:54:00,-592560.0,
2024-10-10 19:55:00,-592500.0,
2024-10-10 19:56:00,-592440.0,
2024-10-10 19:57:00,-592380.0,
2024-10-10 19:58:00,-592320.0,
2024-10-10 19:59:00,-592260.0,
2024-10-10 20:00:00,-592200.0,
2024-10-10 20:01:00,-592140.0,
2024-10-10 20:02:00,-592080.0,
2024-10-10 20:03:00,-592020.0,
2024-10-10 20:04:00,-591960.0,
2024-10-10 20:05:00,-591900.0,
2024-10-10 20:06:00,-591840.0,
2024-10-10 20:07:00,-591780.0,
2024-10-10 20:08:00,-591720.0,
2024-10-10 20:09:00,-591660.0,
2024-10-10 20:10:00,-591600.0,
2024-10-10 20:11:00,-591540.0,
2024-10-10 20:12:00,-591480.0,
2024-10-10 20:13:00,-591420.0,
2024-10-10 20:14:00,-591360.0,
2024-10-10 20:15:00,-591300.0,
2024-10-10 20:16:00,-591240.0,
2024-10-10 20:17:00,-591180.0,
2024-10-10 20:18:00,-591120.0,
2024-10-10 20:19:00,-591060.0,
2024-10-10 20:20:00,-591000.0,
2024-10-10 20:21:00,-590940.0,
2024-10-10 20:22:00,-590880.0,
2024-10-10 20:23:00,-590820.0,
2024-10-10 20:24:00,-590760.0,
2024-10-10 20:25:00,-590700.0,
2024-10-10 20:26:00,-590640.0,
2024-10-10 20:27:00,-590580.0,
2024-10-10 20:28:00,-590520.0,
2024-10-10 20:29:00,-590460.0,
2024-10-10 20:30:00,-590400.0,
2024-10-10 20:31:00,-590340.0,
2024-10-10 20:32:00,-590280.0,
2024-10-10 20:33:00,-590220.0,
2024-10-10 20:34:00,-590160.0,
2024-10-10 20:35:00,-590100.0,
2024-10-10 20:36:00,-590040.0,
2024-10-10 20:37:00,-589980.0,
2024-10-10 20:38:00,-589920.0,
2024-10-10 20:39:00,-589860.0,
2024-10-10 20:40:00,-589800.0,
2024-10-10 20:41:00,-589740.0,
2024-10-10 20:42:00,-589680.0,
2024-10-10 20:43:00,-589620.0,
2024-10-10 20:44:00,-589560.0,
2024-10-10 20:45:00,-589500.0,
2024-10-10 20:46:00,-589440.0,
2024-10-10 20:47:00,-589380.0,
2024-10-10 20:48:00,-589320.0,
2024-10-10 20:49:00,-589260.0,
2024-10-10 20:50:00,-589200.0,
2024-10-10 20:51:00,-589140.0,
2024-10-10 20:52:00,-589080.0,
2024-10-10 20:53:00,-589020.0,
2024-10-10 20:54:00,-588960.0,
2024-10-10 20:55:00,-588900.0,
2024-10-10 20:56:00,-588840.0,
2024-10-10 20:57:00,-588780.0,
2024-10-10 20:58:00,-588720.0,
2024-10-10 20:59:00,-588660.0,
2024-10-10 21:00:00,-588600.0,
2024-10-10 21:01:00,-588540.0,
2024-10-10 21:02:00,-588480.0,
2024-10-10 21:03:00,-588420.0,
2024-10-10 21:04:00,-588360.0,
2024-10-10 21:05:00,-588300.0,
2024-10-10 21:06:00,-588240.0,
2024-10-10 21:07:00,-588180.0,
2024-10-10 21:08:00,-588120.0,
2024-10-10 21:09:00,-588060.0,
2024-10-10 21:10:00,-588000.0,
2024-10-10 21:11:00,-587940.0,
2024-10-10 21:12:00,-587880.0,
2024-10-10 21:13:00,-587820.0,
2024-10-10 21:14:00,-587760.0,
2024-10-10 21:15:00,-587700.0,
2024-10-10 21:16:00,-587640.0,
2024-10-10 21:17:00,-587580.0,
2024-10-10 21:18:00,-587520.0,
2024-10-10 21:19:00,-587460.0,
2024-10-10 21:20:00,-587400.0,
2024-10-10 21:21:00,-587340.0,
2024-10-10 21:22:00,-587280.0,
2024-10-10 21:23:00,-587220.0,
2024-10-10 21:24:00,-587160.0,
2024-10-10 21:25:00,-587100.0,
2024-10-10 21:26:00,-587040.0,
2024-10-10 21:27:00,-586980.0,
2024-10-10 21:28:00,-586920.0,
2024-10-10 21:29:00,-586860.0,
2024-10-10 21:30:00,-586800.0,
2024-10-10 21:31:00,-586740.0,
2024-10-10 21:32:00,-586680.0,
2024-10-10 21:33:00,-586620.0,
2024-10-10 21:34:00,-586560.0,
2024-10-10 21:35:00,-586500.0,
2024-10-10 21:36:00,-586440.0,
2024-10-10 21:37:00,-586380.0,
2024-10-10 21:38:00,-586320.0,
2024-10-10 21:39:00,-586260.0,
2024-10-10 21:40:00,-586200.0,
2024-10-10 21:41:00,-586140.0,
2024-10-10 21:42:00,-586080.0,
2024-10-10 21:43:00,-586020.0,
2024-10-10 21:44:00,-585960.0,
2024-10-10 21:45:00,-585900.0,
2024-10-10 21:46:00,-585840.0,
2024-10-10 21:47:00,-585780.0,
2024-10-10 21:48:00,-585720.0,
2024-10-10 21:49:00,-585660.0,
2024-10-10 21:50:00,-585600.0,
2024-10-10 21:51:00,-585540.0,
2024-10-10 21:52:00,-585480.0,
2024-10-10 21:53:00,-585420.0,
2024-10-10 21:54:00,-585360.0,
2024-10-10 21:55:00,-585300.0,
2024-10-10 21:56:00,-585240.0,
2024-10-10 21:57:00,-585180.0,
2024-10-10 21:58:00,-585120.0,
2024-10-10 21:59:00,-585060.0,
2024-10-10 22:00:00,-585000.0,
2024-10-10 22:01:00,-584940.0,
2024-10-10 22:02:00,-584880.0,
2024-10-10 22:03:00,-584820.0,
2024-10-10 22:04:00,-584760.0,
2024-10-10 22:05:00,-584700.0,
2024-10-10 22:06:00,-584640.0,
2024-10-10 22:07:00,-584580.0,
2024-10-10 22:08:00,-584520.0,
2024-10-10 22:09:00,-584460.0,
2024-10-10 22:10:00,-584400.0,
2024-10-10 22:11:00,-584340.0,
2024-10-10 22:12:00,-584280.0,
2024-10-10 22:13:00,-584220.0,
2024-10-10 22:14:00,-584160.0,
2024-10-10 22:15:00,-584100.0,
2024-10-10 22:16:00,-584040.0,
2024-10-10 22:17:00,-583980.0,
2024-10-10 22:18:00,-583920.0,
2024-10-10 22:19:00,-583860.0,
2024-10-10 22:20:00,-583800.0,
2024-10-10 22:21:00,-583740.0,
2024-10-10 22:22:00,-583680.0,
2024-10-10 22:23:00,-583620.0,
2024-10-10 22:24:00,-583560.0,
2024-10-10 22:25:00,-583500.0,
2024-10-10 22:26:00,-583440.0,
2024-10-10 22:27:00,-583380.0,
2024-10-10 22:28:00,-583320.0,
2024-10-10 22:29:00,-583260.0,
2024-10-10 22:30:00,-583200.0,
2024-10-10 22:31:00,-583140.0,
2024-10-10 22:32:00,-583080.0,
2024-10-10 22:33:00,-583020.0,
2024-10-10 22:34:00,-582960.0,
2024-10-10 22:35:00,-582900.0,
2024-10-10 22:36:00,-582840.0,
2024-10-10 22:37:00,-582780.0,
2024-10-10 22:38:00,-582720.0,
2024-10-10 22:39:00,-582660.0,
2024-10-10 22:40:00,-582600.0,
2024-10-10 22:41:00,-582540.0,
2024-10-10 22:42:00,-582480.0,
2024-10-10 22:43:00,-582420.0,
2024-10-10 22:44:00,-582360.0,
2024-10-10 22:45:00,-582300.0,
2024-10-10 22:46:00,-582240.0,
2024-10-10 22:47:00,-582180.0,
2024-10-10 22:48:00,-582120.0,
2024-10-10 22:49:00,-582060.0,
2024-10-10 22:50:00,-582000.0,
2024-10-10 22:51:00,-581940.0,
