time (s),datetime,spacing (m),avg Rho-a (Ohm-m),std Rho-a (Ohm-m),avg dRho-a (Ohm-m),std dRho-a (Ohm-m),rel avg (%),rel std (%),residual,rel residual (%)
522120,2024-10-23 17:32:00,2.0,13.7246875,0.3956408802105138,-0.360425,0.11995344669912614,-2.5720023757152584,0.8806616680210954,0.32468437500000014,0.7691963668123043
536520,2024-10-23 21:32:00,0.25,11.784863636363637,0.5357318736979049,-3.6865363636363635,0.255278412265109,-23.816411429459905,0.9299457958531118,0.4907603305785125,0.7692599586275334
536520,2024-10-23 21:32:00,0.5,14.42123,0.7645147795170474,-3.12356,0.19321399121181726,-17.81578144140225,0.9763719307781928,0.6567359999999998,0.8301121686926469
536520,2024-10-23 21:32:00,0.75,14.918730000000002,0.6393429706346977,-2.1964799999999998,0.37648210262906234,-12.82897984096412,2.1199081500115424,0.55901,1.4952543786702663
536520,2024-10-23 21:32:00,1.0,14.58945,0.7088341092949746,-1.4021400000000006,0.21766309379405563,-8.777412442811267,1.3694180797956217,0.6421000000000001,1.1504392471368874
536520,2024-10-23 21:32:00,1.25,14.311511111111109,0.7062980193224142,-0.9482777777777783,0.15118858553165251,-6.220853562261045,0.9883318593044551,0.6141654320987657,0.8778253448358019
536520,2024-10-23 21:32:00,1.5,13.9451,0.5671040155425146,-0.6803666666666663,0.18499780178874156,-4.655107462549875,1.2766871064051653,0.4410222222222221,1.137320281425615
536520,2024-10-23 21:32:00,1.75,13.789233333333334,0.5016896783205065,-0.5720000000000002,0.3479012631320687,-3.9492302618168553,2.2787133470817604,0.4217481481481481,1.9580305341688766
536520,2024-10-23 21:32:00,2.0,13.702562499999999,0.38639718534656764,-0.38254999999999995,0.12754514886893972,-2.7269463543847587,0.9305596562735863,0.3233031249999996,0.81265691585273
550920,2024-10-24 01:32:00,0.25,11.75300909090909,0.5404120809068601,-3.7183909090909095,0.2403133199294977,-24.025203793161893,0.8257338632009984,0.48828264462809917,0.6963826878671544
550920,2024-10-24 01:32:00,0.5,14.429210000000001,0.7583223739940683,-3.11558,0.19138912612789713,-17.768525564418784,0.9375959883845548,0.644692,0.7809020958401197
550920,2024-10-24 01:32:00,0.75,14.909200000000002,0.662617815939173,-2.206009999999999,0.3724060269383402,-12.890542127150564,2.1235866690047795,0.5909999999999999,1.5788638320012025
550920,2024-10-24 01:32:00,1.0,14.566819999999998,0.7019387164133347,-1.4247700000000005,0.18740529368190204,-8.9196801863569,1.1879229841610166,0.6226360000000003,0.9943401422826345
550920,2024-10-24 01:32:00,1.25,14.324711111111109,0.6805983649120733,-0.9350777777777781,0.1493685135478898,-6.1265701675852835,0.9255721225371876,0.5935456790123452,0.8161228775594878
550920,2024-10-24 01:32:00,1.5,13.951566666666666,0.5603106142528843,-0.6739000000000002,0.1955230193893056,-4.608269079848915,1.3358378263327857,0.434562962962963,1.159333283969758
550920,2024-10-24 01:32:00,1.75,13.793277777777778,0.4992554918804996,-0.5679555555555554,0.33091374878630014,-3.923175905230221,2.160703563747685,0.4263530864197534,1.8126995514882382
550920,2024-10-24 01:32:00,2.0,13.7160875,0.392127015256218,-0.3690249999999997,0.12128607453042631,-2.632312479220164,0.889456941811711,0.3195593750000003,0.7702729537187749
565320,2024-10-24 05:32:00,0.25,11.732445454545454,0.5356264070542868,-3.738954545454545,0.2577741272144218,-24.15564829114909,0.9502916535570033,0.4848314049586776,0.8181649977264562
565320,2024-10-24 05:32:00,0.5,14.398480000000001,0.7342310042486626,-3.1463099999999997,0.2056447638526212,-17.93766989089026,0.9047259159907397,0.630176,0.7343682282902059
565320,2024-10-24 05:32:00,0.75,14.874290000000002,0.6478989542359209,-2.24092,0.38442023828097277,-13.089914636281469,2.17752248236708,0.5652699999999999,1.5809165304279802
565320,2024-10-24 05:32:00,1.0,14.575489999999999,0.6975931270446979,-1.4161000000000004,0.19070522279161595,-8.863828354492902,1.1988167875742208,0.6278320000000003,1.0039721328154358
565320,2024-10-24 05:32:00,1.25,14.307344444444444,0.6654517982562442,-0.952444444444445,0.15310183329413354,-6.23598664395392,0.9171014886867362,0.5761061728395062,0.8120710088797245
565320,2024-10-24 05:32:00,1.5,13.9379,0.5651319845841323,-0.6875666666666665,0.17460348093768166,-4.704645073449565,1.20675598505948,0.43462222222222224,1.037087465380066
565320,2024-10-24 05:32:00,1.75,13.79251111111111,0.4870303445815363,-0.5687222222222221,0.3221743654116434,-3.926830937116533,2.1062476632452305,0.41627901234567904,1.7943277714852588
565320,2024-10-24 05:32:00,2.0,13.709087499999999,0.39189083440895883,-0.37602499999999983,0.11984948633598722,-2.682070037340181,0.8788064875657923,0.3207843749999997,0.7558531270177011
579720,2024-10-24 09:32:00,0.25,11.714572727272726,0.5220024034965723,-3.7568272727272727,0.25480545909275754,-24.26861849892793,0.8386518578946418,0.4671338842975205,0.7311115191941853
579720,2024-10-24 09:32:00,0.5,14.385050000000001,0.7424208540309197,-3.1597399999999998,0.20534180869954413,-18.016248493222687,0.9448464718417883,0.6351800000000004,0.7576679359134247
579720,2024-10-24 09:32:00,0.75,14.856509999999997,0.6473318027874115,-2.2586999999999997,0.3673363118451535,-13.195880771068635,2.0781083056443195,0.5764900000000003,1.5329820191272687
